,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Idaho
7,Illinois
8,Indiana
9,Iowa
10,Kansas
11,Maine
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,New Hampshire
19,North Dakota
20,Oregon
21,Pennsylvania
22,Rhode Island
23,South Dakota
24,Tennessee
25,Vermont
26,West Virginia
27,Wisconsin
28,Wyoming
